"timestamp","players"
"2026-01-18T12:10:02Z",175149
"2026-01-18T12:15:03Z",175313
"2026-01-18T12:20:03Z",175848
"2026-01-18T12:25:02Z",176298
"2026-01-18T12:30:03Z",176745
"2026-01-18T12:35:03Z",177220
"2026-01-18T12:40:02Z",177839
"2026-01-18T12:45:02Z",178367
"2026-01-18T12:50:02Z",179053
"2026-01-18T12:55:02Z",179631
"2026-01-18T13:00:03Z",180299
"2026-01-18T13:05:03Z",180793
"2026-01-18T13:10:02Z",180961
"2026-01-18T13:15:02Z",182136
"2026-01-18T13:20:03Z",182814
"2026-01-18T13:25:02Z",184074
"2026-01-18T13:30:03Z",184904
"2026-01-18T13:35:02Z",185856
"2026-01-18T13:40:03Z",185336
"2026-01-18T13:45:02Z",186710
"2026-01-18T13:50:02Z",187773
"2026-01-18T13:55:03Z",188920
"2026-01-18T14:00:03Z",190053
"2026-01-18T14:05:03Z",190798
"2026-01-18T14:10:03Z",191737
"2026-01-18T14:15:04Z",193009
"2026-01-18T14:20:03Z",194622
"2026-01-18T14:25:03Z",196048
"2026-01-18T14:30:03Z",197400
"2026-01-18T14:35:02Z",197824
"2026-01-18T14:40:03Z",199043
"2026-01-18T14:45:02Z",200032
"2026-01-18T14:50:02Z",200434
"2026-01-18T14:55:02Z",201832
"2026-01-18T15:00:02Z",202550
"2026-01-18T15:05:03Z",203611
"2026-01-18T15:10:03Z",205173
"2026-01-18T15:15:02Z",206509
"2026-01-18T15:20:03Z",207857
"2026-01-18T15:25:03Z",208929
"2026-01-18T15:30:03Z",209952
"2026-01-18T15:35:02Z",211389
"2026-01-18T15:40:02Z",212348
"2026-01-18T15:45:03Z",213613
"2026-01-18T15:50:03Z",215024
"2026-01-18T15:55:03Z",216024
"2026-01-18T16:00:03Z",217411
"2026-01-18T16:05:03Z",218190
"2026-01-18T16:10:02Z",219054
"2026-01-18T16:15:03Z",219806
"2026-01-18T16:20:02Z",220605
"2026-01-18T16:25:03Z",221424
"2026-01-18T16:30:03Z",221946
"2026-01-18T16:35:03Z",223027
"2026-01-18T16:40:02Z",224323
"2026-01-18T16:45:02Z",224908
"2026-01-18T16:50:02Z",225419
"2026-01-18T16:55:03Z",226467
"2026-01-18T17:00:03Z",227053
"2026-01-18T17:05:03Z",227992
"2026-01-18T17:10:02Z",229259
"2026-01-18T17:15:02Z",230189
"2026-01-18T17:20:03Z",231224
"2026-01-18T17:25:03Z",232228
"2026-01-18T17:30:02Z",232956
"2026-01-18T17:35:02Z",234176
